"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P1D01: West Coast (DC1)","I0615: Wholesale and retail trade [QSIC 61-63]",7369.648,4341.688
"R millions current prices","2019","P1D01: West Coast (DC1)","I061539: Wholesale and retail trade [QSIC 61-63]",7369.648,4341.688
"R millions current prices","2019","P1D01: West Coast (DC1)","I0616: Catering and accommodation services [QSIC 64]",1247.266,508.822
"R millions current prices","2019","P1D01: West Coast (DC1)","I061640: Catering and accommodation services [QSIC 64]",1247.266,508.822
"R millions current prices","2019","P1D01: West Coast (DC1)","I07: Transport, storage and communication [QSIC 7]",5776.27,2408.776
"R millions current prices","2019","P1D01: West Coast (DC1)","I0717: Transport and storage [QSIC 71-74]",4380.178,1953.842
"R millions current prices","2019","P1D01: West Coast (DC1)","I071741: Transport and storage [QSIC 71-74]",4380.178,1953.842
"R millions current prices","2019","P1D01: West Coast (DC1)","I0718: Communication [QSIC 75]",1396.092,454.934
"R millions current prices","2019","P1D01: West Coast (DC1)","I071842: Communication [QSIC 75]",1396.092,454.934
"R millions current prices","2019","P1D01: West Coast (DC1)","I08: Finance, insurance, real estate and business services [QSIC 8]",8757.532,4862.479
"R millions current prices","2019","P1D01: West Coast (DC1)","I0819: Finance and insurance [QSIC 81-82]",2001.993,1081.921
"R millions current prices","2019","P1D01: West Coast (DC1)","I081943: Finance and insurance [QSIC 81-82]",2001.993,1081.921
"R millions current prices","2019","P1D01: West Coast (DC1)","I0820: Business services [QSIC 83-88]",6755.539,3780.558
"R millions current prices","2019","P1D01: West Coast (DC1)","I082044: Professional business services [QSIC 831-883]",5389.918,3060.432
"R millions current prices","2019","P1D01: West Coast (DC1)","I082045: Business activities n.e.c. [QSIC 889]",1365.621,720.126
"R millions current prices","2019","P1D01: West Coast (DC1)","I09: General government [QSIC 91]",3273.196,2040.399
"R millions current prices","2019","P1D01: West Coast (DC1)","I0921: General government [QSIC 91]",3273.196,2040.399
