"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-13"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P5D01: Ugu (DC21)","I030827: Other fabricated metal products [QSIC 355]",501.852,158.545
"R millions current prices","2019","P5D01: Ugu (DC21)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",1394.004,229.41
"R millions current prices","2019","P5D02: UMgungundlovu (DC22)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1568.376,324.992
"R millions current prices","2019","P5D02: UMgungundlovu (DC22)","I030826: Structural metal products [QSIC 354]",761.527,227.966
"R millions current prices","2019","P5D02: UMgungundlovu (DC22)","I030827: Other fabricated metal products [QSIC 355]",1467.269,462.79
"R millions current prices","2019","P5D02: UMgungundlovu (DC22)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",3939.065,699.429
"R millions current prices","2019","P5D03: Uthukela (DC23)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",251.869,51.284
"R millions current prices","2019","P5D03: Uthukela (DC23)","I030826: Structural metal products [QSIC 354]",150.582,43.837
"R millions current prices","2019","P5D03: Uthukela (DC23)","I030827: Other fabricated metal products [QSIC 355]",388.118,121.548
"R millions current prices","2019","P5D03: Uthukela (DC23)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",671.931,114.527
"R millions current prices","2019","P5D04: Umzinyathi (DC24)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",127.749,25.832
"R millions current prices","2019","P5D04: Umzinyathi (DC24)","I030826: Structural metal products [QSIC 354]",72.056,21.794
"R millions current prices","2019","P5D04: Umzinyathi (DC24)","I030827: Other fabricated metal products [QSIC 355]",273.953,85.683
"R millions current prices","2019","P5D04: Umzinyathi (DC24)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",143.121,22.195
"R millions current prices","2019","P5D05: Amajuba (DC25)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1883.816,391.315
"R millions current prices","2019","P5D05: Amajuba (DC25)","I030826: Structural metal products [QSIC 354]",310.993,94.901
"R millions current prices","2019","P5D05: Amajuba (DC25)","I030827: Other fabricated metal products [QSIC 355]",622.738,202.499
"R millions current prices","2019","P5D05: Amajuba (DC25)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",1919.35,307.037
"R millions current prices","2019","P5D06: Zululand (DC26)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",206.887,41.974
"R millions current prices","2019","P5D06: Zululand (DC26)","I030826: Structural metal products [QSIC 354]",88.883,25.688
"R millions current prices","2019","P5D06: Zululand (DC26)","I030827: Other fabricated metal products [QSIC 355]",246.575,74.681
"R millions current prices","2019","P5D06: Zululand (DC26)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",553.938,92.776
"R millions current prices","2019","P5D07: Umkhanyakude (DC27)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",45.868,9.013
"R millions current prices","2019","P5D07: Umkhanyakude (DC27)","I030826: Structural metal products [QSIC 354]",8.42,2.318
"R millions current prices","2019","P5D07: Umkhanyakude (DC27)","I030827: Other fabricated metal products [QSIC 355]",101.673,29.466
"R millions current prices","2019","P5D07: Umkhanyakude (DC27)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",121.915,17.671
"R millions current prices","2019","P5D08: King Cetshwayo (DC28)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1773.697,375.763
"R millions current prices","2019","P5D08: King Cetshwayo (DC28)","I030826: Structural metal products [QSIC 354]",721.189,223.719
"R millions current prices","2019","P5D08: King Cetshwayo (DC28)","I030827: Other fabricated metal products [QSIC 355]",998.793,321.676
"R millions current prices","2019","P5D08: King Cetshwayo (DC28)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",2614.3,428.033
"R millions current prices","2019","P5D09: iLembe (DC29)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",835.915,171.572
"R millions current prices","2019","P5D09: iLembe (DC29)","I030826: Structural metal products [QSIC 354]",413.135,121.385
"R millions current prices","2019","P5D09: iLembe (DC29)","I030827: Other fabricated metal products [QSIC 355]",664.315,206.591
"R millions current prices","2019","P5D09: iLembe (DC29)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",2390.426,432.117
"R millions current prices","2019","P5D10: Harry Gwala (DC43)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",44.312,8.516
"R millions current prices","2019","P5D10: Harry Gwala (DC43)","I030826: Structural metal products [QSIC 354]",11.974,3.426
"R millions current prices","2019","P5D10: Harry Gwala (DC43)","I030827: Other fabricated metal products [QSIC 355]",159.548,49.121
"R millions current prices","2019","P5D10: Harry Gwala (DC43)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",259.081,41.52
"R millions current prices","2019","P5D11: eThekwini (ETH)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",6467.148,1341.916
"R millions current prices","2019","P5D11: eThekwini (ETH)","I030826: Structural metal products [QSIC 354]",3549.02,1066.13
"R millions current prices","2019","P5D11: eThekwini (ETH)","I030827: Other fabricated metal products [QSIC 355]",7799.185,2493.245
"R millions current prices","2019","P5D11: eThekwini (ETH)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",40546.171,6858.448
"R millions current prices","2019","P6: North West","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1894.25,386.975
"R millions current prices","2019","P6: North West","I030826: Structural metal products [QSIC 354]",1026.485,301.698
"R millions current prices","2019","P6: North West","I030827: Other fabricated metal products [QSIC 355]",1718.34,535.504
"R millions current prices","2019","P6: North West","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",5540.275,943.128
"R millions current prices","2019","P6D01: Bojanala (DC37)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1170.983,239.972
"R millions current prices","2019","P6D01: Bojanala (DC37)","I030826: Structural metal products [QSIC 354]",633.092,187.503
"R millions current prices","2019","P6D01: Bojanala (DC37)","I030827: Other fabricated metal products [QSIC 355]",963.075,304.063
"R millions current prices","2019","P6D01: Bojanala (DC37)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",4080.733,692.355
"R millions current prices","2019","P6D02: Ngaka Modiri Molema (DC38)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",142.8,28.611
"R millions current prices","2019","P6D02: Ngaka Modiri Molema (DC38)","I030826: Structural metal products [QSIC 354]",74.855,21.514
"R millions current prices","2019","P6D02: Ngaka Modiri Molema (DC38)","I030827: Other fabricated metal products [QSIC 355]",228.86,69.894
"R millions current prices","2019","P6D02: Ngaka Modiri Molema (DC38)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",383.381,64.614
"R millions current prices","2019","P6D03: Dr Ruth Segomotsi Mompati (DC39)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",37.684,7.318
"R millions current prices","2019","P6D03: Dr Ruth Segomotsi Mompati (DC39)","I030826: Structural metal products [QSIC 354]",32.754,8.926
"R millions current prices","2019","P6D03: Dr Ruth Segomotsi Mompati (DC39)","I030827: Other fabricated metal products [QSIC 355]",71.241,21.035
